# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 15 22:56:14 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,Msini,0.231000,,,0,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,4.7230700,2.2820000,4.4403800
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,0.080000,,,0,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.430,1.93,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,5.0130000,1.9390000,4.5621600
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,0.000000,,,0,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,5.2313300,2.3310000,4.9178100
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.03890000,2.774000,12.600,1.120,2559.47216,8.05300,Mass,0.373000,,,0,,K0 V,5338.00,0.93,0.91,0.405,[Fe/H],-0.153,4.45,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,6.6193500,4.7140000,6.3830000
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,0.680000,,,0,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,6.2150000,4.6510000,6.0642800
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,Msini,0.060000,,,0,,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],2.254,1.70,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,5.2260600,2.0940000,4.7542900
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,Msini,0.080000,,,0,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,5.5104800,3.3660000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,,,1700,0,,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,12.6180000,8.9160000,12.0572000
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.042000,,,0,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,5.5900000,3.1590000,5.3339000
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,0.090000,,,0,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.290000,,,0,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,,118.000000,13.000,1.160,1271.31363,4.00000,Mass,,,1450,0,,M V,3100.00,0.84,0.17,0.010,[Fe/H],-1.164,4.50,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,16.1860000,10.3860000,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,,,,0,,M5.5/M6,,,0.19,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2000000,15.7880000,9.2370010,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,,,1600,0,,M3.5 V,3530.00,0.37,0.40,,,-1.720,4.86,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,14.2440000,9.1980000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,,,,0,,M6,3064.00,0.28,0.11,,,-2.230,4.59,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,,10.4040000,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,,,,0,,M8.5,2936.00,0.23,0.02,,,-2.444,5.01,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870,,13.1610000,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,,,1250,0,,M8,2825.00,0.22,0.02,,,-2.561,5.03,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,20.1500000,11.9450000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,Mass,0.330000,,,0,,,29564.00,0.20,0.48,-0.092,[Fe/H],1.450,5.51,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,12.6510000,12.9550000,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,230.000000,12.300,1.100,3972.87500,12.50000,Mass,,,,0,,K7 V,4045.00,0.64,0.60,,,-1.021,4.62,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,12.3680000,9.1480000,11.9484000
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,Msini,0.290000,,,0,,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],0.381,4.43,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,7.0920900,5.8220000,6.9608500
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,269.30000000,0.870000,12.700,1.130,2256.50000,7.10000,Msini,0.432000,,,0,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],2.062,1.80,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,4.5801000,1.7340000,4.2377300
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,Msini,0.380000,,,0,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],2.155,1.71,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,4.8262000,2.0850000,4.4321600
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,0.032000,,,0,,G0 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.098000,,,0,,G1 V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,0.160000,,,0,,G0V,5872.00,1.21,1.06,0.040,[M/H],0.198,4.30,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,11688.00000000,13.200000,13.400,1.190,635.66000,2.00000,Mass,0.450000,,700,0,,F0 IV,7295.00,1.49,1.75,-0.027,[M/H],0.850,4.31,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,5.2114900,4.5370000,5.1580600
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.013000,,,0,,G5V,5758.00,1.18,1.03,0.180,[M/H],0.136,4.31,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,5.4530900,3.9110000,5.2864700
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,Mass,0.000000,,700,0,,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
